,index,alignment,equation,solutions,question,Type,Clean,pred
0,0,"[13, 51]",['X=(7.0+7.0)'],[14.0],"If there are 7 bottle caps in a box and Linda puts 7 more bottle caps inside, how many bottle caps are in the box?",Addition,if there are bottle caps in a box and linda puts more bottle caps inside how many bottle caps are in the box,Addition
1,1,"[17, 40]",['X=(7.0+2.0)'],[9.0],Jose starts with 7 bottle caps. He gets 2 more from Rebecca. How many bottle caps does Jose end with?,Addition,jose starts with bottle caps he gets more from rebecca how many bottle caps does jose end with,Addition
2,2,"[12, 34]",['X=(4.0+4.0)'],[8.0],"Bridget has 4 Skittles. Henry has 4 Skittles. If Henry gives all of his Skittles to Bridget, how many Skittles will Bridget have?",Addition,bridget has skittles henry has skittles if henry gives all of his skittles to bridget how many skittles will bridget have,Addition
3,3,"[19, 40]",['X=(7.0+8.0)'],[15.0],Brenda starts with 7 Skittles. She buys 8 more. How many Skittles does Brenda end with?,Addition,brenda starts with skittles she buys more how many skittles does brenda end with,Addition
4,4,"[10, 19]",['X=(4.0+3.0)'],[7.0],There are 4 cards. 3 cards more are added. How many are there total?,Addition,there are cards cards more are added how many are there total,Addition
5,5,"[10, 21]",['X=(4.0+7.0)'],[11.0],There are 4 marbles. 7 marbles more are added. How many are there total?,Addition,there are marbles marbles more are added how many are there total,Addition
6,6,"[10, 21]",['X=(8.0+8.0)'],[16.0],There are 8 oranges. 8 oranges more are added. How many are there total?,Addition,there are oranges oranges more are added how many are there total,Addition
7,7,"[15, 53]",['X=(2.0+5.0)'],[7.0],Carol collects 2 peanuts. Carol's father gives Carol 5 more. How many peanuts does Carol have?,Addition,carol collects peanuts carols father gives carol more how many peanuts does carol have,Addition
8,8,"[10, 19]",['X=(9.0+4.0)'],[13.0],There are 9 cards. 4 cards more are added. How many are there total?,Addition,there are cards cards more are added how many are there total,Addition
9,9,"[13, 51]",['X=(7.0+7.0)'],[14.0],"If there are 7 bottle caps in a box and Linda puts 7 more bottle caps inside, how many bottle caps are in the box?",Addition,if there are bottle caps in a box and linda puts more bottle caps inside how many bottle caps are in the box,Addition
10,10,"[15, 52]",['X=(2.0+6.0)'],[8.0],Bobby collects 2 blocks. Bobby's father gives Bobby 6 more. How many blocks does Bobby have?,Addition,bobby collects blocks bobbys father gives bobby more how many blocks does bobby have,Addition
11,11,"[18, 49]",['X=(8.0+3.0)'],[11.0],Peter starts with 8 erasers. Bridget gives Peter 3 more. How many erasers does Peter end with?,Addition,peter starts with erasers bridget gives peter more how many erasers does peter end with,Addition
12,12,"[13, 48]",['X=(7.0+6.0)'],[13.0],"If there are 7 crayons in a box and Gerald puts 6 more crayons inside, how many crayons are in the box?",Addition,if there are crayons in a box and gerald puts more crayons inside how many crayons are in the box,Addition
13,13,"[13, 34]",['X=(2.0+2.0)'],[4.0],"Michelle has 2 crayons. Janet has 2 crayons. If Janet gives all of her crayons to Michelle, how many crayons will Michelle have?",Addition,michelle has crayons janet has crayons if janet gives all of her crayons to michelle how many crayons will michelle have,Addition
