,Type,Clean,label
398,Multiplication,a bee has legs how many legs do bees have,0
295,Multiplication,a bee has legs how many legs do bees have,0
729,Subtraction,a book has chapters across pages the first chapter is pages long how many pages are in the first chapter,1
717,Subtraction,a book has chapters across pages the second chapter is pages long how many pages are in the second chapter,1
445,Multiplication,a book has chapters each chapter is pages long how many pages does the book have altogether,0
813,Subtraction,a book has chapters the first chapter is pages long if there are a total of pages in the book how many pages are in the second chapter,1
543,Subtraction,a book has chapters the first chapter is pages long the second chapter is pages long and the third chapter is pages long how many more pages does the first chapter have than the second chapter,1
972,Subtraction,a book has chapters the first chapter is pages long the second chapter is pages long and the third chapter is pages long how many more pages does the first chapter have than the third chapter,1
712,Subtraction,a book has chapters the first chapter is pages long the second chapter is pages long and the third chapter is pages long how many more pages does the second chapter have than the third chapter,1
141,Addition,a book has chapters the first chapter is pages long the second chapter is pages long and the third chapter is pages long how many pages does the book have altogether,2
294,Subtraction,a book has chapters the first chapter is pages long the second chapter is pages long how many more pages does the first chapter have than the second chapter,1
343,Subtraction,a book has chapters the first chapter is pages long the second chapter is pages long how many more pages does the second chapter have than the first chapter,1
467,Subtraction,a book has chapters the second chapter is pages long if there are a total of pages in the book how many pages are in the first chapter,1
518,Division,a box of books weighs pounds each book weighs pounds how many books are there in the box,3
554,Addition,a cake recipe requires cup of sugar for the frosting and cup of sugar for the cake how much sugar is that altogether,2
446,Multiplication,a candy store has boxes of chocolates each box has pieces how many pieces are there altogether in the boxes,0
517,Division,a cereal box holds cups of cereal each serving is cups how many servings are in the whole box,3
109,Subtraction,a chef had apples after making some pies he had used how many apples remained,1
965,Subtraction,a chef had apples and peaches after making some pies he had apples left how many apples did he use,1
527,Multiplication,a chocolate chip cookie recipe calls for cups of chocolate chips you want to make recipes for a bake sale how many cups of chocolate chips will be needed to make all the cookie recipes,0
474,Subtraction,a dvd book holds dvds there are dvds already in the book how many more dvds can be put in the book,1
873,Subtraction,a farmer had green tomatoes and red tomatoes in his garden if he picked tomatoes how many tomatoes are left,1
135,Subtraction,a farmer had tomatoes and potatoes in his garden if he picked potatoes how many tomatoes and potatoes does he have left,1
890,Subtraction,a farmer had tomatoes and potatoes in his garden if he picked tomatoes how many tomatoes and potatoes does he have left,1
115,Subtraction,a farmer had tomatoes in his garden if he picked of them yesterday and today how many did he have left after yesterdays picking,1
55,Addition,a farmer had tomatoes in his garden if he picked of them yesterday and today how many tomatoes did he pick in all,2
127,Subtraction,a farmer had tomatoes in his garden if he picked of them yesterday and today how many will he have left after today,1
534,Division,a fruit farm packs oranges in boxes that hold each one day it packs oranges how many boxes did they use,3
433,Multiplication,a garden has rows and columns of bean plans how many plants are there in all,0
197,Subtraction,a grocery store had a total of bottles of which were bottles of regular soda and the rest were bottles of diet soda how many bottles of diet soda did they have,1
173,Subtraction,a grocery store had a total of bottles of which were bottles of regular soda and the rest were bottles of diet soda they also had apple how many bottles of diet soda did they have,1
156,Subtraction,a grocery store had apples bottles of regular soda and bottles of diet soda how many more bottles than apple did they have,1
711,Subtraction,a grocery store had bottles of diet soda and bottles of regular soda how many more bottles of regular soda than diet soda did they have,1
181,Subtraction,a grocery store had bottles of diet soda bottles of regular soda and apples how many more bottles of regular soda than diet soda did they have,1
200,Addition,a grocery store had bottles of diet soda if they had more bottles of regular soda than diet soda how many bottles of regular soda did they have,2
